number,liczby_nut,liczby_parti,dlugosci_utworow,metrum,liczby_uzytych_metrum,liczby_uzytych_tonacji,najwyzsze_dzwieki,najnizsze_dzwieki,dokladnosci_tonacji,rozstawy_dzwiekow,pauzy
747,833,4,536.0,4/2,1,1,74,46,0.9429067673635928,17,80
748,2120,6,1016.0,4/2,1,1,79,46,0.9453057753833506,20,305
749,1656,5,952.0,4/2,1,1,79,50,0.8907261995494514,18,168
750,1831,6,912.0,4/2,1,1,79,45,0.9397785991727409,21,243
751,1222,4,768.0,4/2,1,1,79,48,0.893677280834177,19,113
752,115,4,72.0,3/2,1,1,77,49,0.8976242403578016,18,6
753,231,4,136.0,4/2,1,1,76,48,0.8950359645442496,17,18
754,1841,4,1200.0,4/2,1,1,79,46,0.9234834548696114,20,174
755,1778,6,904.0,4/2,1,1,79,45,0.9476372083332552,21,215
756,1599,4,1112.0,4/2,1,1,79,48,0.9242883918855703,19,160
757,1203,5,688.0,4/2,1,1,79,48,0.9025118293571385,19,96
758,2445,6,1248.0,4/2,1,1,74,41,0.8568127508417177,20,308
759,885,4,624.0,4/2,1,1,77,45,0.9278726039057698,20,65
760,1203,8,488.0,4/2,1,1,79,45,0.8931864960572089,21,199
761,1523,8,584.0,4/2,1,1,79,46,0.8631735931421389,20,234
762,110,5,80.0,4/2,1,1,76,50,0.8613922137460077,16,15
763,88,5,64.0,4/2,1,1,79,48,0.8541212186749242,19,4
764,150,5,104.0,4/2,1,1,79,48,0.8674323220002254,19,21
765,299,4,208.0,4/2,1,1,79,55,0.8274729157977793,15,27
766,252,5,160.0,4/2,1,1,79,48,0.8610775475211369,19,30
767,343,5,232.0,4/2,1,1,79,48,0.8254036025396211,19,50
768,179,5,112.0,4/2,1,1,79,48,0.8034699889345814,19,19
769,232,5,168.0,4/2,1,1,79,48,0.8825362908908027,19,21
770,151,5,104.0,4/2,1,1,79,48,0.8496795989555515,19,19
771,110,5,80.0,4/2,1,1,76,50,0.8613922137460077,16,15
772,88,5,64.0,4/2,1,1,79,48,0.8541212186749242,19,4
773,150,5,104.0,4/2,1,1,79,48,0.8674323220002254,19,21
774,299,4,208.0,4/2,1,1,79,55,0.8274729157977793,15,27
775,252,5,160.0,4/2,1,1,79,48,0.8610775475211369,19,30
776,343,5,232.0,4/2,1,1,79,48,0.8254036025396211,19,50
777,179,5,112.0,4/2,1,1,79,48,0.8034699889345814,19,19
778,232,5,168.0,4/2,1,1,79,48,0.8825362908908027,19,21
779,151,5,104.0,4/2,1,1,79,48,0.8496795989555515,19,19
780,90,5,56.0,4/2,1,1,74,48,0.7909063138763968,16,9
781,100,5,64.0,4/2,1,1,77,50,0.8061183567305893,17,13
782,124,5,88.0,4/2,1,1,79,50,0.8029438289936915,18,19
